id,card,card_type,time,compony_id,line_id,car_id
11860652,3073D57B70270063702C263FB90BBB0FE6E5E206DD449E2863E0BF5EA9A026A8ECD927064D3E0273,1,2017-05-08 04:43:22.000,7,9014,50079546
11860693,F5078E23A9ABD8A48AD4E8F3514EC42175DB3631D8C46299F249D2397C990608EECDBABFFB2EC7DE,1,2017-05-08 04:44:25.000,7,9014,50079546
11860814,40565D07085251A1F6CFB5ED3423989E16FDFC43B2935398C164053D83B033D51F5862DBC7209F87,1,2017-05-08 04:47:26.000,7,9014,50079546
11860959,6552246BA44BB1D176622D0D677EEA098EC0E4D77EFB27FBAE5D645331E93683C1C44BF76EE986E7,1,2017-05-08 04:50:42.000,7,9014,50079546
11860974,DB2ABDCABC0405063004766F3D1EEFEB487C76849EB981A5FDD6DE9DD439BA50C15C6852C9AE2599,1,2017-05-08 04:51:00.000,7,9014,50079546
11861472,4C851E50C939C3E48AA7A038069B9B8E9719B02AF5FECA6A4F4B851FD6F00D9BC50C9344F67F0D4B,1,2017-05-08 04:59:50.000,7,9014,50079546
11861659,DC967E13C5AE9D19E11BC00BA504AD0E0AA2A580C31B4A07BB87F193441A04BCC5469C78D836ADD2,1,2017-05-08 05:02:54.000,7,9014,50079546
11861871,84D791808AED242E0DBE8C5078157DED4DB18411D26261E01B491ADD499F411B392E003B77517F66,1,2017-05-08 05:05:21.000,7,9014,50079580
11861917,9F79C90549DD8988A4C9628C9E445510A9D0DDD3CD47B4821598A275810C58127BA5E6F2C88C2167,0,2017-05-08 05:05:57.000,7,9014,50079546
11862148,662D2C9EB3265E1C3640BD7CBC8E0B4CB206AF196D060F9031DC2BE6FAB131906DE32A9EC1A9BFCE,1,2017-05-08 05:08:30.000,7,9014,50079580
11862386,04D946265D56D0EEB4C00F00EB9AAF2EE4C5679CFB0D61BBB67BFD3F1C6B79BAF17CD03538DD633A,0,2017-05-08 05:11:05.000,7,9014,50079580
11862527,8D3DB7236781C03495947D62D7259D30D2FCAD08B0DB613B587FFE915FCDE92D83662A772005739B,1,2017-05-08 05:12:15.000,7,9014,50079580
11862793,92ED523F62D2139DAB0F93AE37A0C6658CB12968C7A3A1D90196FAEA5869FADD90EB7F3C50453D7C,1,2017-05-08 05:14:32.000,7,9014,50079546
11862854,F77B3E89D14F4C2140DC866BF88455D73805EA053D0568D21039B72867D9E9CAA3CDC3632F59D815,1,2017-05-08 05:14:48.000,7,9014,50079580
11863131,3C7A472F9D3A2476E13E806DAD06AA52A4E184D08D3FC2E8586F73CD055E3534413D9648C4B84960,1,2017-05-08 05:17:26.000,7,9014,50079580
11863138,9D93D5C6EEE7F2D20B49340F859D3F4154F336695B214C734C26ECA085F77FC3A23423E66E894BE6,1,2017-05-08 05:17:27.000,7,9014,50079580
11863514,061AFD71503096C953CA181E70547E8F10D7049C870AF0F791C8D6A5AF659437F279B0C7D1656785,1,2017-05-08 05:19:59.000,7,9014,50079583
11863519,F1EA84E06D7ADFA298EDA09F271168D015400883654519A5A269CFEA764FC659E8889CD4467B8847,1,2017-05-08 05:20:02.000,7,9014,50079583
11863529,BD37D39BA3CA73295CBC186C0DBD0E43F245B91FD6C5EB413A26A0EA8FB0E0985FA21237DEE6EEE2,0,2017-05-08 05:20:06.000,7,9014,50079583
